location,datetime,tempmax,dew,humidity,solarradiation
homagama,2016-04-30,33.3,24.2,80.2,250.3
homagama,2016-05-01,33.1,24.3,80.3,248
homagama,2016-05-02,33.2,24.9,77,215.8
homagama,2016-05-03,33.3,24.7,76.5,235.5
homagama,2016-05-04,33.7,24.7,77.4,242.2
homagama,2016-05-05,32.4,24.8,77.6,254.2
homagama,2016-05-06,31.3,24.5,79,219.2
homagama,2016-05-07,33.1,24.3,76.1,134.7
homagama,2016-05-08,33.1,24.8,83.1,206
homagama,2016-05-09,33.1,24.3,83.3,217.6
homagama,2016-05-10,33.1,24.1,81.1,177.5
homagama,2016-05-11,32.1,24.3,84.2,129
homagama,2016-05-12,31.1,23.9,84,95.8
homagama,2016-05-13,31.7,24.1,81,182.9
homagama,2016-05-14,31.1,25,83.5,35.8
homagama,2016-05-15,27.1,24.4,91.6,23.8
homagama,2016-05-16,28.4,24,87,53.5
homagama,2016-05-17,29.5,24.7,84.7,118.2
homagama,2016-05-18,31.6,24.9,80.3,192.1
homagama,2016-05-19,30.1,25.3,83.9,133.3
homagama,2016-05-20,31.5,24.7,77.8,160.7
homagama,2016-05-21,30.4,25.8,86.7,146.4
homagama,2016-05-22,32.1,26.1,83.4,164.9
homagama,2016-05-23,31.7,26.2,80.7,189.6
homagama,2016-05-24,30.5,25.6,81.4,146.8
homagama,2016-05-25,32,25.2,77.8,206.8
homagama,2016-05-26,32,25.7,79.8,191.8
homagama,2016-05-27,31.1,25.1,85.4,141.6
homagama,2016-05-28,30.1,24.4,87.4,111.8
homagama,2016-05-29,30.5,24.8,83.1,117.1
homagama,2016-05-30,31.1,25,81,196.4
homagama,2016-05-31,29.8,25.3,83.2,103.5
homagama,2016-06-01,31.3,25.1,83,191.6
homagama,2016-06-02,31.9,25,78.1,183.9
homagama,2016-06-03,31.8,25.1,76.8,184.7
homagama,2016-06-04,31.1,25.2,79,188.9
homagama,2016-06-05,31.4,25.1,78.8,206.7
homagama,2016-06-06,31.2,24.8,79.6,189.8
homagama,2016-06-07,31.5,24.7,82.3,192.7
homagama,2016-06-08,31.1,24.2,84.6,180.4
homagama,2016-06-09,31.1,24.9,84.8,186.1
homagama,2016-06-10,30.8,24.6,83.1,210
homagama,2016-06-11,31.1,24.6,77.7,206.4
homagama,2016-06-12,31.4,24.9,81.5,175.1
homagama,2016-06-13,31.1,24.3,76.1,183.6
homagama,2016-06-14,31.3,24.7,77.3,210.9
homagama,2016-06-15,31.3,24.5,75.3,225.4
homagama,2016-06-16,30.5,24.5,76.7,178.8
homagama,2016-06-17,29.9,24.3,78.5,183
homagama,2016-06-18,29.5,24,77.5,131.7
homagama,2016-06-19,30,23.5,75.8,220.6
homagama,2016-06-20,30.5,23.3,74.3,171.3
homagama,2016-06-21,30.6,23.3,76.7,168.7
homagama,2016-06-22,30.8,23.3,72.5,220.8
homagama,2016-06-23,30.6,22.9,72.3,237.5
homagama,2016-06-24,30.9,23.3,72.9,201.8
homagama,2016-06-25,30.6,22.9,71.7,228.6
homagama,2016-06-26,30.1,24.3,79.8,229.5
homagama,2016-06-27,30.5,24.9,81.5,228.8
homagama,2016-06-28,31.1,24.4,79.6,181.8
homagama,2016-06-29,30.9,25,80.7,158.2
homagama,2016-06-30,31.1,24.5,78.1,202.9
homagama,2016-07-01,31.1,24.3,76.6,196.3
homagama,2016-07-02,31.2,24.4,75.9,246.4
homagama,2016-07-03,32.1,24.2,75.9,254.2
homagama,2016-07-04,31.5,23.5,73.8,233.9
homagama,2016-07-05,30.8,23.9,75.4,247
homagama,2016-07-06,31.1,24.3,75.7,234.8
homagama,2016-07-07,31.2,24.3,77,251.3
homagama,2016-07-08,31.2,24.9,79,163.3
homagama,2016-07-09,31.3,24.6,78.9,207.9
homagama,2016-07-10,30.5,24.3,78.3,202.1
homagama,2016-07-11,31.5,24.3,75.7,230.4
homagama,2016-07-12,30.1,23.7,76.3,199.7
homagama,2016-07-13,30.4,23.1,73.7,0
homagama,2016-07-14,30.4,23.7,75.2,225.7
homagama,2016-07-15,29.5,23.4,76.7,171.1
homagama,2016-07-16,29.9,23.4,76.7,136.5
homagama,2016-07-17,29.5,24,82.7,156
homagama,2016-07-18,30.2,23.9,80.5,196
homagama,2016-07-19,30.1,23.3,75.3,247
homagama,2016-07-20,30.1,23.8,77.5,241.3
homagama,2016-07-21,30.5,23.7,76.6,225.7
homagama,2016-07-22,30.6,23.3,74.8,249.5
homagama,2016-07-23,30.6,23.6,77.9,204.4
homagama,2016-07-24,28.8,23.2,77.3,144.6
homagama,2016-07-25,29.1,23.4,78.4,146.3
homagama,2016-07-26,30.1,23.6,78.4,145
homagama,2016-07-27,29.1,24,83.3,149.6
homagama,2016-07-28,30.1,23.5,78.9,163.9
homagama,2016-07-29,30.1,23.8,79.5,190.3
homagama,2016-07-30,30.1,23.9,79,180.5
homagama,2016-07-31,30.2,23.6,76.6,192.1
homagama,2016-08-01,30.2,23.8,77.9,208.3
homagama,2016-08-02,30.3,23.4,75.1,234.1
homagama,2016-08-03,30.4,23.5,74.8,231.3
homagama,2016-08-04,30.6,23.7,76.2,212.7
homagama,2016-08-05,31.1,23.9,76,230.4
homagama,2016-08-06,31.1,23.6,73.2,263.2
homagama,2016-08-07,30.9,23.7,75.2,258.5
homagama,2016-08-08,30.5,23.9,76.5,242.9
homagama,2016-08-09,29.1,24,77.2,212.1
homagama,2016-08-10,30.9,23.3,72.7,247.9
homagama,2016-08-11,30.9,23.4,74.1,246.5
homagama,2016-08-12,30.3,23.6,74.7,203
homagama,2016-08-13,30.7,23.6,74.7,200.3
homagama,2016-08-14,30.5,24.1,77.5,217.9
homagama,2016-08-15,30.5,23.8,75.8,199.8
homagama,2016-08-16,30.1,23.7,75.3,211.4
homagama,2016-08-17,30.1,23.3,72.5,221.6
homagama,2016-08-18,31.1,23.4,74.2,220.3
homagama,2016-08-19,30.3,23.3,74,230.7
homagama,2016-08-20,30.3,23.4,75.1,223
homagama,2016-08-21,30.4,23.9,77.6,223.4
homagama,2016-08-22,29.1,24,80.1,191.7
homagama,2016-08-23,30.1,23.9,78.7,195.6
homagama,2016-08-24,30.5,23.5,75.9,229.3
homagama,2016-08-25,29.7,23.3,76.3,192.3
homagama,2016-08-26,30.3,23.4,77.2,190.9
homagama,2016-08-27,30.3,23.4,77.1,198.6
homagama,2016-08-28,30.1,23.3,76.4,227.8
homagama,2016-08-29,30,23.4,76.7,249.9
homagama,2016-08-30,30.1,23.6,77.3,179.6
homagama,2016-08-31,31.1,23.3,75.7,182
homagama,2016-09-01,30.1,23.4,78.4,183.3
homagama,2016-09-02,28.1,22.8,77,147.3
homagama,2016-09-03,30.1,23.1,76.5,186.2
homagama,2016-09-04,29.1,23.4,77,175.3
homagama,2016-09-05,30.3,23.4,76.1,252.4
homagama,2016-09-06,30.4,23.2,75.7,215.6
homagama,2016-09-07,30.1,22.5,73.4,230.5
homagama,2016-09-08,29.1,22.1,73.4,201.9
homagama,2016-09-09,30.8,22.8,74.6,243.4
homagama,2016-09-10,30.1,23.2,75.1,197.5
homagama,2016-09-11,30,23.1,75.3,240.8
homagama,2016-09-12,30.1,23.3,76.5,228.4
homagama,2016-09-13,30.2,23.6,77.9,234.9
homagama,2016-09-14,29.3,23.5,78.2,205.9
homagama,2016-09-15,29.6,23.8,78.7,226.1
homagama,2016-09-16,30.1,23.3,76,234.6
homagama,2016-09-17,30.6,23.5,76.4,213.1
homagama,2016-09-18,30.1,23.8,79.7,160.6
homagama,2016-09-19,29.9,23.4,77.4,227.8
homagama,2016-09-20,30.1,23.4,76.5,188.3
homagama,2016-09-21,30.1,23.4,76.1,234
homagama,2016-09-22,30,23.3,76.3,250.1
homagama,2016-09-23,29.8,23.4,77,226.9
homagama,2016-09-24,30.1,23.3,75.6,239.3
homagama,2016-09-25,30.8,23.4,76.3,233.6
homagama,2016-09-26,30.7,23.5,76.3,225.4
homagama,2016-09-27,30.4,23.7,77.3,231.4
homagama,2016-09-28,30.2,23.7,76.7,205
homagama,2016-09-29,30.3,23.7,76.5,205.4
homagama,2016-09-30,30.4,23.7,76.7,217.7
homagama,2016-10-01,30.7,23,72.9,243.3
homagama,2016-10-02,31,23.3,74.7,228.1
homagama,2016-10-03,31.1,23.3,76.6,224.6
homagama,2016-10-04,31.3,23.2,76.6,239.1
homagama,2016-10-05,31.2,23.5,74,213.8
homagama,2016-10-06,30.9,22.8,70.3,235
homagama,2016-10-07,30.6,21.9,68.6,246.2
homagama,2016-10-08,31.3,22.4,71.6,241.7
homagama,2016-10-09,30.9,23.7,76.2,192.2
homagama,2016-10-10,31.4,22.8,71.1,236.1
homagama,2016-10-11,31.3,22.5,69.4,268.5
homagama,2016-10-12,31.1,22.9,70.6,231.5
homagama,2016-10-13,31.6,23.4,73.3,237.2
homagama,2016-10-14,30.6,23.4,74,228.9
homagama,2016-10-15,31,23.6,76.8,218.9
homagama,2016-10-16,30.6,24,84.8,227.4
homagama,2016-10-17,31.1,23.5,78.6,225.3
homagama,2016-10-18,31.1,24,77.3,240.6
homagama,2016-10-19,30.1,23.7,79.2,197.9
homagama,2016-10-20,30.9,23.6,78.7,213
homagama,2016-10-21,30.7,23.2,74,221.8
homagama,2016-10-22,30,23.5,78.5,212.9
homagama,2016-10-23,29.4,23.8,79.5,182.5
homagama,2016-10-24,29.1,23.5,82,145.6
homagama,2016-10-25,30.6,23.3,80.5,176
homagama,2016-10-26,30.1,23.3,79.3,241.6
homagama,2016-10-27,30.7,23.5,79.5,226.4
homagama,2016-10-28,30.8,23.3,76.9,234.3
homagama,2016-10-29,31.1,23.7,76.6,194.4
homagama,2016-10-30,30.5,24.1,79.8,192.4
homagama,2016-10-31,30.5,24.1,83.3,181.5
homagama,2016-11-01,30.4,23.6,84.5,168.4
homagama,2016-11-02,30.2,23.4,83.5,181.5
homagama,2016-11-03,28.5,23.1,83.4,106
homagama,2016-11-04,29.5,23.1,87,90.5
homagama,2016-11-05,29.1,23.8,89.1,174.3
homagama,2016-11-06,26.1,23.4,90.3,120.2
homagama,2016-11-07,31.2,23.2,79.5,223.9
homagama,2016-11-08,30.7,23.4,78,236.1
homagama,2016-11-09,30.7,22.8,78,241.6
homagama,2016-11-10,31.1,22.2,74.9,247.6
homagama,2016-11-11,30.8,23.4,79,233.2
homagama,2016-11-12,30.7,23.9,81.5,174.9
homagama,2016-11-13,30.3,23.7,82.2,175.9
homagama,2016-11-14,30.8,23.8,82.3,214.3
homagama,2016-11-15,30.8,23.9,83.8,200.7
homagama,2016-11-16,32.1,23,84.3,196.5
homagama,2016-11-17,31.1,23.3,87,144
homagama,2016-11-18,31.4,23.3,83.5,218.9
homagama,2016-11-19,29.3,23.8,86.7,72.3
homagama,2016-11-20,28.2,23.7,85.2,121.1
homagama,2016-11-21,30.5,23.3,82.9,123.8
homagama,2016-11-22,31.1,24,85.9,162.6
homagama,2016-11-23,31.3,23.8,83.2,193.8
homagama,2016-11-24,32.3,22.7,75.1,221
homagama,2016-11-25,31.8,22.4,73.1,236.4
homagama,2016-11-26,31.3,23,77.1,137.7
homagama,2016-11-27,30.9,21.8,74.9,254.8
homagama,2016-11-28,29.4,21.5,76.5,228.3
homagama,2016-11-29,29.3,21.1,75,108.8
homagama,2016-11-30,29,21.6,76.5,144.3
homagama,2016-12-01,30.1,20.6,70,176.4
homagama,2016-12-02,31.2,22.3,75.1,224.2
homagama,2016-12-03,31.3,22.1,75.3,238.9
homagama,2016-12-04,30.5,23.5,80,221.5
homagama,2016-12-05,33.1,22.5,75,254
homagama,2016-12-06,32.9,20.2,65.1,242.1
